NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Race Information
NCT02470091,Unknown,COMPLETED,2015-11-21,"Metastatic Osteosarcoma, Recurrent Osteosarcoma, Refractory Osteosarcoma, Stage IV Osteosarcoma AJCC v7, Stage IVA Osteosarcoma AJCC v7, Stage IVB Osteosarcoma AJCC v7","Denosumab, Laboratory Biomarker Analysis, Pharmacological Study","Birmingham - United States, Phoenix - United States, Tucson - United States, Little Rock - United States, Anaheim - United States, Bellflower - United States, Downey - United States, Fontana - United States, Loma Linda - United States, Los Angeles - United States, Los Angeles - United States, Madera - United States, Oakland - United States, Orange - United States, Sacramento - United States, San Diego - United States, San Diego - United States, San Francisco - United States, Aurora - United States, Denver - United States, Hartford - United States, Wilmington - United States, Washington - United States, Gainesville - United States, Jacksonville - United States, Miami - United States, Miami - United States, Orlando - United States, Orlando - United States, Saint Petersburg - United States, Tampa - United States, West Palm Beach - United States, Atlanta - United States, Honolulu - United States, Boise - United States, Centralia - United States, Chicago - United States, Chicago - United States, Chicago - United States, Danville - United States, Decatur - United States, Effingham - United States, Effingham - United States, Mattoon - United States, O'Fallon - United States, Peoria - United States, Urbana - United States, Urbana - United States, Indianapolis - United States, Indianapolis - United States, Iowa City - United States, Lexington - United States, Louisville - United States, New Orleans - United States, Scarborough - United States, Baltimore - United States, Baltimore - United States, Bethesda - United States, Boston - United States, Boston - United States, Worcester - United States, Ann Arbor - United States, Detroit - United States, Detroit - United States, Grand Rapids - United States, Kalamazoo - United States, Minneapolis - United States, Minneapolis - United States, Rochester - United States, Jackson - United States, Kansas City - United States, Saint Louis - United States, Saint Louis - United States, Omaha - United States, Omaha - United States, Las Vegas - United States, Las Vegas - United States, Lebanon - United States, Hackensack - United States, New Brunswick - United States, New Brunswick - United States, Newark - United States, Albuquerque - United States, Albany - United States, Buffalo - United States, New York - United States, New York - United States, New York - United States, Rochester - United States, Syracuse - United States, Chapel Hill - United States, Charlotte - United States, Winston-Salem - United States, Fargo - United States, Akron - United States, Beachwood - United States, Cincinnati - United States, Cleveland - United States, Cleveland - United States, Cleveland - United States, Columbus - United States, Dayton - United States, Oklahoma City - United States, Portland - United States, Hershey - United States, Philadelphia - United States, Philadelphia - United States, Philadelphia - United States, Pittsburgh - United States, Providence - United States, Charleston - United States, Columbia - United States, Sioux Falls - United States, Memphis - United States, Nashville - United States, Austin - United States, Corpus Christi - United States, Dallas - United States, Dallas - United States, Fort Worth - United States, Houston - United States, San Antonio - United States, San Antonio - United States, Salt Lake City - United States, Burlington - United States, Charlottesville - United States, Norfolk - United States, Richmond - United States, Seattle - United States, Spokane - United States, Morgantown - United States, Milwaukee - United States, Edmonton - Canada, Halifax - Canada, Hamilton - Canada, London - Canada, Toronto - Canada, Montreal - Canada, Quebec - Canada, San Juan - Puerto Rico, San Juan - Puerto Rico",2019-12-31,2015-06-12,2024-01-22,INTERVENTIONAL,PHASE2,"{'American Indian or Alaska Native': 2, 'Asian': 4, 'Native Hawaiian or Other Pacific Islander': 0, 'Black or African American': 6, 'White': 84, 'More than one race': 0, 'Unknown or Not Reported': 16}"
NCT04316091,Unknown,UNKNOWN,2020-09-01,Osteosarcoma,"neoadjuvant chemotherapy+SPIONs/SMF, neoadjuvant chemotherapy",No locations listed,2021-08-31,2020-03-20,2020-03-20,INTERVENTIONAL,PHASE1,{}
NCT04616560,Unknown,SUSPENDED,2021-03-08,"Osteosarcoma, Recurrent Osteosarcoma",Trastuzumab Deruxtecan,"Birmingham - United States, Los Angeles - United States, Orange - United States, Palo Alto - United States, San Francisco - United States, Aurora - United States, Washington - United States, Saint Petersburg - United States, Atlanta - United States, Chicago - United States, Indianapolis - United States, Baltimore - United States, Boston - United States, Ann Arbor - United States, Minneapolis - United States, Kansas City - United States, Saint Louis - United States, New York - United States, New York - United States, Durham - United States, Cincinnati - United States, Philadelphia - United States, Pittsburgh - United States, Memphis - United States, Nashville - United States, Dallas - United States, Houston - United States, Salt Lake City - United States",2025-03-31,2020-11-05,2024-06-06,INTERVENTIONAL,PHASE2,{}
NCT03360760,Unknown,RECRUITING,2018-08-01,Osteosarcoma of Pelvis,"Doxorubicin, Cisplatin, Methotrexate, Ifosfamide, definitive surgery, pre surgical chemotherapy",Beijing - China,2020-02,2017-12-04,2018-08-28,INTERVENTIONAL,NA,{}
NCT00716976,Unknown,COMPLETED,2008-06-23,"Brain Tumor, Central Nervous System Tumor, Childhood Germ Cell Tumor, Extragonadal Germ Cell Tumor, Liver Cancer, Neuroblastoma, Ototoxicity, Ovarian Cancer, Sarcoma","sodium thiosulfate, examination","Birmingham - United States, Little Rock - United States, Los Angeles - United States, Los Angeles - United States, Madera - United States, San Diego - United States, San Francisco - United States, Hartford - United States, New Haven - United States, Wilmington - United States, Washington - United States, Fort Myers - United States, Jacksonville - United States, Miami - United States, Orlando - United States, Orlando - United States, Pensacola - United States, Saint Petersburg - United States, Tampa - United States, Honolulu - United States, Boise - United States, Chicago - United States, Peoria - United States, Indianapolis - United States, Des Moines - United States, Iowa City - United States, Louisville - United States, Alexandria - United States, New Orleans - United States, Bethesda - United States, Ann Arbor - United States, Flint - United States, Grand Rapids - United States, Kalamazoo - United States, Minneapolis - United States, Minneapolis - United States, Rochester - United States, Kansas City - United States, Saint Louis - United States, Las Vegas - United States, Hackensack - United States, Newark - United States, Albuquerque - United States, New York - United States, Syracuse - United States, Charlotte - United States, Durham - United States, Winston-Salem - United States, Cincinnati - United States, Cleveland - United States, Columbus - United States, Oklahoma City - United States, Portland - United States, Portland - United States, Bethlehem - United States, Danville - United States, Pittsburgh - United States, Providence - United States, Sioux Falls - United States, Knoxville - United States, Corpus Christi - United States, Dallas - United States, San Antonio - United States, Norfolk - United States, Richmond - United States, Spokane - United States, Green Bay - United States, Marshfield - United States, Perth - Australia, Vancouver - Canada, Winnipeg - Canada, Halifax - Canada, Toronto - Canada, Montreal - Canada, Saskatoon - Canada, Quebec - Canada",2015-04-09,2008-07-16,2023-11-09,INTERVENTIONAL,PHASE3,"{'American Indian or Alaska Native': 2, 'Asian': 6, 'Native Hawaiian or Other Pacific Islander': 4, 'Black or African American': 34, 'White': 170, 'More than one race': 0, 'Unknown or Not Reported': 46}"
NCT03582527,Unknown,UNKNOWN,2018-06-01,"Progression, Survival",all study participants,Beijing - China,2019-12-31,2018-07-11,2018-08-01,OBSERVATIONAL,Not Available,{}
NCT02383901,FORTO,COMPLETED,2014-09,Osteosarcoma,Methotrexate,"Budapest - Hungary, Oslo - Norway, Warszawa - Poland, Lund - Sweden, Stockholm - Sweden",2015-09,2015-03-10,2016-09-05,OBSERVATIONAL,Not Available,{}
NCT03449901,Unknown,COMPLETED,2018-05-09,Soft Tissue Sarcoma,"pegylated arginine deiminase, Gemcitabine, Docetaxel, Tumor biopsy, Research blood draw","Palo Alto - United States, Santa Monica - United States, Saint Louis - United States, New York - United States",2022-07-08,2018-02-28,2023-09-08,INTERVENTIONAL,PHASE2,"{'American Indian or Alaska Native': 0, 'Asian': 10, 'Native Hawaiian or Other Pacific Islander': 0, 'Black or African American': 14, 'White': 164, 'More than one race': 0, 'Unknown or Not Reported': 6}"
NCT00119301,Unknown,COMPLETED,2005-04,Sarcoma,"leucovorin calcium, methotrexate, trimetrexate glucuronate",New York - United States,2007-04,2005-07-13,2013-01-17,INTERVENTIONAL,PHASE1,{}
NCT06412458,Unknown,NOT_YET_RECRUITING,2024-06-15,"Refractory Osteosarcoma, Recurrent Osteosarcoma",IM83 CAR-T Cells,Guangdong - China,2025-06-15,2024-05-14,2024-05-14,INTERVENTIONAL,PHASE1,{}
NCT02022358,Unknown,TERMINATED,2007-07,"Osteosarcoma, Spindle Cell Sarcoma of Bone","Glucarpidase, Methotrexate, Folinic Acid",London - United Kingdom,2015-06,2013-12-27,2015-06-04,INTERVENTIONAL,PHASE2,{}
NCT03737435,Micros,RECRUITING,2018-12-12,Localized Osteosarcoma,No interventions listed,Bologna - Italy,2025-06-30,2018-11-09,2024-08-27,OBSERVATIONAL,Not Available,{}
NCT03932058,PROS001,UNKNOWN,2018-09-01,"Osteosarcoma, Proteomics",Chemotherapy,Hangzhou - China,2019-09-01,2019-04-30,2019-05-02,OBSERVATIONAL,Not Available,{}
NCT00742924,Unknown,COMPLETED,2008-08,Sarcoma,"cisplatin, dexrazoxane hydrochloride, doxorubicin hydrochloride, etoposide, ifosfamide, leucovorin calcium, methotrexate, zoledronic acid, adjuvant therapy, neoadjuvant therapy, therapeutic conventional surgery, filgrastim, Mesna","Birmingham - United States, Little Rock - United States, Downey - United States, Long Beach - United States, Los Angeles - United States, Madera - United States, Oakland - United States, Orange - United States, Palo Alto - United States, San Diego - United States, San Francisco - United States, Farmington - United States, Wilmington - United States, Washington - United States, Jacksonville - United States, Orlando - United States, Pensacola - United States, Saint Petersburg - United States, Tampa - United States, West Palm Beach - United States, Atlanta - United States, Honolulu - United States, Boise - United States, Chicago - United States, Oak Lawn - United States, Indianapolis - United States, Iowa City - United States, Kansas City - United States, Lexington - United States, Louisville - United States, Scarborough - United States, Baltimore - United States, Boston - United States, Ann Arbor - United States, Detroit - United States, Grand Rapids - United States, Kalamazoo - United States, Lansing - United States, Minneapolis - United States, Rochester - United States, Jackson - United States, Kansas City - United States, St. Louis - United States, Hackensack - United States, Morristown - United States, New Brunswick - United States, Albuquerque - United States, New York - United States, New York - United States, Syracuse - United States, Charlotte - United States, Charlotte - United States, Durham - United States, Winston-Salem - United States, Akron - United States, Cincinnati - United States, Cleveland - United States, Cleveland - United States, Columbus - United States, Dayton - United States, Oklahoma City - United States, Portland - United States, Hershey - United States, Columbia - United States, Chattanooga - United States, Knoxville - United States, Corpus Christi - United States, Dallas - United States, Fort Worth - United States, San Antonio - United States, San Antonio - United States, Salt Lake City - United States, Norfolk - United States, Seattle - United States, Spokane - United States, Charleston - United States, Marshfield - United States, Perth - Australia, Calgary - Canada, Vancouver - Canada, Winnipeg - Canada, St. John's - Canada, Halifax - Canada, Hamilton - Canada, Toronto - Canada, Montreal - Canada, Saskatoon - Canada, Santurce - Puerto Rico",2012-04,2008-08-28,2014-07-04,INTERVENTIONAL,PHASE1,"{'American Indian or Alaska Native': 2, 'Asian': 0, 'Native Hawaiian or Other Pacific Islander': 0, 'Black or African American': 14, 'White': 26, 'More than one race': 0, 'Unknown or Not Reported': 6}"
NCT03277924,ImmunoSarc,COMPLETED,2017-05-31,"Soft Tissue Sarcoma, Bone Sarcoma","Sunitinib 37.5 MG, Sunitinib 25 MG [Sutent], Nivolumab 100 MG/10 ML [Opdivo], Epirubicin, Ifosfamide, Doxorubicin, Dacarbazine, Cisplatin, Methotrexate","Bologna - Italy, Candiolo - Italy, Milano - Italy, Madrid - Spain, La Laguna - Spain, Barcelona - Spain, Barcelona - Spain, Madrid - Spain, Madrid - Spain, Sevilla - Spain, Valencia - Spain, Zaragoza - Spain, London - United Kingdom",2024-06-30,2017-09-11,2024-08-13,INTERVENTIONAL,"PHASE1, PHASE2",{}
NCT06217224,PBMT/MTX,RECRUITING,2022-10-17,Mucositis Oral,Preventive photobiomodulation Therapy (PBMT),Rio De Janeiro - Brazil,2025-06-30,2024-01-22,2024-01-22,INTERVENTIONAL,NA,{}
NCT00743496,Unknown,COMPLETED,2008-10-08,"Neuroblastoma, Melanoma, Osteosarcoma, Ewing Sarcoma",Anti-GD2 antibody,Memphis - United States,2014-04-01,2008-08-28,2017-08-17,INTERVENTIONAL,PHASE1,{}
NCT00026416,Unknown,UNKNOWN,2001-10,Sarcoma,"recombinant interferon alfa, thalidomide, adjuvant therapy",New York - United States,Unknown Date,2003-01-27,2014-01-06,INTERVENTIONAL,PHASE2,{}
NCT02099396,Unknown,UNKNOWN,2014-04,"Lobaplatin and Gemcitabine in Combination, Second-line Treatments on Advanced Osteosarcoma","Docetaxel+lobaplatin, Gemcitabine+lobaplatin",No locations listed,2016-06,2014-03-28,2014-03-28,INTERVENTIONAL,"PHASE2, PHASE3",{}
NCT00134030,EURAMOS-1,COMPLETED,2005-11-14,"Localized Osteosarcoma, Metastatic Osteosarcoma","Cisplatin, Doxorubicin Hydrochloride, Etoposide, Ifosfamide, Methotrexate, Peginterferon Alfa-2b, Quality-of-Life Assessment, Questionnaire Administration, Therapeutic Conventional Surgery","Birmingham - United States, Birmingham - United States, Phoenix - United States, Tucson - United States, Little Rock - United States, Little Rock - United States, Downey - United States, Duarte - United States, Loma Linda - United States, Long Beach - United States, Los Angeles - United States, Los Angeles - United States, Los Angeles - United States, Los Angeles - United States, Madera - United States, Oakland - United States, Oakland - United States, Orange - United States, Palo Alto - United States, Sacramento - United States, Sacramento - United States, San Diego - United States, San Francisco - United States, San Francisco - United States, San Francisco - United States, Torrance - United States, Aurora - United States, Farmington - United States, Hartford - United States, New Haven - United States, Wilmington - United States, Washington - United States, Washington - United States, Fort Lauderdale - United States, Fort Myers - United States, Fort Myers - United States, Gainesville - United States, Hollywood - United States, Jacksonville - United States, Miami - United States, Miami - United States, Orlando - United States, Orlando - United States, Orlando - United States, Orlando - United States, Orlando - United States, Pensacola - United States, Pensacola - United States, Saint Petersburg - United States, Tampa - United States, Atlanta - United States, Augusta - United States, Savannah - United States, Honolulu - United States, Honolulu - United States, Honolulu - United States, Chicago - United States, Chicago - United States, Chicago - United States, Maywood - United States, Oak Lawn - United States, Peoria - United States, Springfield - United States, Indianapolis - United States, Indianapolis - United States, Indianapolis - United States, Des Moines - United States, Iowa City - United States, Kansas City - United States, Lexington - United States, Louisville - United States, New Orleans - United States, New Orleans - United States, New Orleans - United States, Bangor - United States, Scarborough - United States, Baltimore - United States, Baltimore - United States, Boston - United States, Boston - United States, Worcester - United States, Ann Arbor - United States, Detroit - United States, Detroit - United States, East Lansing - United States, Flint - United States, Grand Rapids - United States, Grand Rapids - United States, Kalamazoo - United States, Kalamazoo - United States, Royal Oak - United States, Royal Oak - United States, Minneapolis - United States, Minneapolis - United States, Rochester - United States, Jackson - United States, Kansas City - United States, Saint Louis - United States, Saint Louis - United States, Omaha - United States, Omaha - United States, Las Vegas - United States, Las Vegas - United States, Hackensack - United States, Livingston - United States, Morristown - United States, New Brunswick - United States, New Brunswick - United States, Newark - United States, Paterson - United States, Summit - United States, Albuquerque - United States, Albany - United States, Bronx - United States, Brooklyn - United States, Buffalo - United States, New Hyde Park - United States, New York - United States, New York - United States, New York - United States, Rochester - United States, Syracuse - United States, Valhalla - United States, Asheville - United States, Chapel Hill - United States, Charlotte - United States, Charlotte - United States, Durham - United States, Greenville - United States, Winston-Salem - United States, Fargo - United States, Akron - United States, Cincinnati - United States, Cleveland - United States, Cleveland - United States, Columbus - United States, Dayton - United States, Toledo - United States, Toledo - United States, Toledo - United States, Oklahoma City - United States, Portland - United States, Portland - United States, Portland - United States, Bethlehem - United States, Danville - United States, Hershey - United States, Hershey - United States, Philadelphia - United States, Philadelphia - United States, Pittsburgh - United States, Charleston - United States, Columbia - United States, Greenville - United States, Greenville - United States, Sioux Falls - United States, Chattanooga - United States, Knoxville - United States, Nashville - United States, Amarillo - United States, Corpus Christi - United States, Dallas - United States, Dallas - United States, Fort Worth - United States, Houston - United States, Houston - United States, San Antonio - United States, San Antonio - United States, Temple - United States, Salt Lake City - United States, Burlington - United States, Charlottesville - United States, Falls Church - United States, Norfolk - United States, Richmond - United States, Roanoke - United States, Seattle - United States, Spokane - United States, Tacoma - United States, Tacoma - United States, Charleston - United States, Huntington - United States, Green Bay - United States, Madison - United States, Marshfield - United States, Milwaukee - United States, Newcastle - Australia, Westmead - Australia, Westmead - Australia, Herston - Australia, Herston - Australia, South Brisbane - Australia, North Adelaide - Australia, Parkville - Australia, Perth - Australia, Calgary - Canada, Edmonton - Canada, Vancouver - Canada, Winnipeg - Canada, Saint John's - Canada, Halifax - Canada, Hamilton - Canada, Kingston - Canada, London - Canada, London - Canada, Ottawa - Canada, Toronto - Canada, Montreal - Canada, Montreal - Canada, Saskatoon - Canada, Quebec - Canada, Grafton - New Zealand, Christchurch - New Zealand, Wellington - New Zealand, San Juan - Puerto Rico, Bern - Switzerland, Geneva - Switzerland, Lausanne - Switzerland",2015-01-31,2005-08-24,2023-06-07,INTERVENTIONAL,PHASE3,{}
NCT01291017,Unknown,COMPLETED,2011-02,Non-small Cell Lung Cancer,PD0332991,"Gainesville - United States, Tampa - United States",2014-02,2011-02-07,2016-05-13,INTERVENTIONAL,PHASE2,{}
NCT05427513,Unknown,RECRUITING,2022-04-06,"Blood Loss, Surgical","Tranexamic acid injection, normal saline",Lahore - Pakistan,2023-12-31,2022-06-22,2023-03-28,INTERVENTIONAL,EARLY_PHASE1,{}
NCT05926492,Unknown,RECRUITING,2024-01-09,Osteosarcoma,"Surufatinib plus chemotherapy, Chemotherapy",Hangzhou - China,2025-07,2023-07-03,2024-04-17,INTERVENTIONAL,PHASE2,{}
NCT02389244,REGOBONE,RECRUITING,2014-09,"Ewing Sarcomas, Chondrosarcomas, Osteosarcomas, Chondroma, CIC-Rearranged Sarcoma","Regorafenib, Placebo","Besancon - France, Bordeaux - France, Caen - France, Dijon - France, Lille - France, Lyon - France, Marseille - France, Marseille - France, Montpellier - France, Nice - France, Paris - France, Paris - France, Rennes - France, Saint Herblain - France, Saint Priest en Jarez - France, Toulouse - France, Tours - France, Vandoeuvre les Nancy - France, Villejuif - France",2025-09,2015-03-17,2023-11-07,INTERVENTIONAL,PHASE2,{}
NCT04735289,Metabol-Sarc,RECRUITING,2021-03-10,"Osteosarcoma, Ewing Sarcoma","EPIC-COS Food Frequency Questionnaire diet Evaluation, Metabolome, Microbiota, Lymphocytes subpopulations","Candiolo - Italy, Bologna - Italy, Firenze - Italy, Milano - Italy, Pisa - Italy, Roma - Italy, Torino - Italy",2024-12-31,2021-02-03,2023-08-04,OBSERVATIONAL,Not Available,{}
NCT01374672,Unknown,COMPLETED,2011-07,"Localized Osteosarcoma, Metastatic Osteosarcoma, Osteoblastic Osteosarcoma, Recurrent Osteosarcoma",laboratory biomarker analysis,Monrovia - United States,2011-09,2011-06-16,2015-05-12,OBSERVATIONAL,Not Available,{}
NCT03225872,BOOST,RECRUITING,2017-01-03,Osteosarcoma,No interventions listed,Minneapolis - United States,2050-12,2017-07-21,2023-10-04,OBSERVATIONAL,Not Available,{}
NCT03721068,Unknown,RECRUITING,2019-02-19,"Neuroblastoma, Osteosarcoma","iC9.GD2.CAR.IL-15 T-cells, Cyclophosphamide, Fludarabine","Atlanta - United States, Chapel Hill - United States",2025-05-19,2018-10-26,2024-08-13,INTERVENTIONAL,PHASE1,{}
NCT05590572,Unknown,NOT_YET_RECRUITING,2023-01,Osteosarcoma,"Sulfatinib, Etoposide, Isophosphamide","Beijing - China, Jinan - China, Shanghai - China, Shanghai - China, Donggu - Korea, Republic of",2026-12,2022-10-21,2022-10-21,INTERVENTIONAL,"PHASE1, PHASE2",{}
NCT06384404,UFSR for OS,RECRUITING,2024-03-25,Osteosarcoma,Questionnaire,Bronx - United States,2027-12-31,2024-04-25,2024-04-25,OBSERVATIONAL,Not Available,{}
NCT01002092,Unknown,UNKNOWN,2009-02,Osteosarcoma,"Chemotherapy, Endostar","Nanjing - China, Jinan - China, Xi'an - China, Beijing - China",2014-12,2009-10-27,2014-09-03,INTERVENTIONAL,PHASE2,{}
NCT05093101,Unknown,COMPLETED,2021-07-12,Osteosarcoma,case series review of clinical data,Bologna - Italy,2021-12-22,2021-10-26,2022-04-05,OBSERVATIONAL,Not Available,{}
NCT05558280,Unknown,SUSPENDED,2023-11-30,Osteosarcoma in Children,Dinutuximab beta,Turin - Italy,2025-12-15,2022-09-28,2023-11-18,INTERVENTIONAL,PHASE2,{}
NCT05277480,OAIE,COMPLETED,2022-03-01,"Effect of Drug, Drug, Toxicity","Apatinib+IE, IE","Beijing - China, Beijing - China, Nanjing - China, Shanghai - China, Shanghai - China",2023-06-30,2022-03-14,2024-07-31,INTERVENTIONAL,PHASE2,{}
NCT00944580,Unknown,WITHDRAWN,2009-06,"Neuroblastoma, Rhabdomyosarcoma, Osteogenic Sarcoma","MAGE-A1, MAGE-A3, and NY-ESO-1 Vaccine",No locations listed,2010-08,2009-07-23,2017-11-24,INTERVENTIONAL,PHASE1,{}
NCT04571229,Unknown,AVAILABLE,Unknown Date,Osteosarcoma,L-MTP-PE,New York - United States,Unknown Date,2020-09-30,2024-05-22,EXPANDED_ACCESS,Not Available,{}
NCT00504140,Unknown,COMPLETED,1996-11,Osteosarcoma,"Etoposide, Interferon Alpha",Houston - United States,2007-11,2007-07-19,2012-08-02,INTERVENTIONAL,PHASE2,{}
NCT03539172,RASS,UNKNOWN,2018-06-01,"Soft Tissue and Bone Tumor, Head and Neck Cancer, Sarcoma",Apatinib Mesylate,Shanghai - China,2019-12-01,2018-05-29,2018-05-30,INTERVENTIONAL,PHASE2,{}
NCT01176981,Unknown,COMPLETED,2010-10,Osteosarcoma,High Dose Methotrexate,Toronto - Canada,2012-10,2010-08-06,2021-10-28,INTERVENTIONAL,PHASE3,{}
NCT01669369,Li2CO3,UNKNOWN,2013-01,Osteosarcoma,"Lithium Carbonate, Placebo",Guangzhou - China,2023-12,2012-08-21,2016-11-01,INTERVENTIONAL,PHASE4,{}
NCT06017518,OSTEO LR,RECRUITING,2022-06-13,Osteosarcoma,No interventions listed,"Bologna - Italy, Pisa - Italy",2026-06-30,2023-08-30,2023-08-30,OBSERVATIONAL,Not Available,{}
NCT00642941,Unknown,TERMINATED,2007-12-18,Sarcoma,RG1507,"Duarte - United States, Los Angeles - United States, Santa Monica - United States, Stanford - United States, Washington - United States, Coeur d'Alene - United States, Baltimore - United States, Bethesda - United States, Boston - United States, Boston - United States, Ann Arbor - United States, Omaha - United States, Bronx - United States, New York - United States, New York - United States, Charlotte - United States, Portland - United States, Philadelphia - United States, Philadelphia - United States, Houston - United States, Houston - United States, Salt Lake City - United States, Melbourne - Australia, Vancouver - Canada, Bordeaux - France, Lille - France, Lyon - France, Paris - France, Villejuif - France, Bad Saarow - Germany, Mannheim - Germany, Tübingen - Germany, Bologna - Italy, Milano - Italy, Rotterdam - Netherlands, Oslo - Norway, Esplugues De Llobregas - Spain, Lund - Sweden, London - United Kingdom, London - United Kingdom, Manchester - United Kingdom",2014-02-19,2008-03-25,2021-02-03,INTERVENTIONAL,PHASE2,{}
NCT03139318,Unknown,TERMINATED,2017-07-25,"Osteosarcoma in Children, Radiation Toxicity",GRID radiotherapy,Little Rock - United States,2018-08-29,2017-05-03,2022-07-20,INTERVENTIONAL,NA,"{'American Indian or Alaska Native': 0, 'Asian': 0, 'Native Hawaiian or Other Pacific Islander': 0, 'Black or African American': 0, 'White': 1, 'More than one race': 0, 'Unknown or Not Reported': 0}"
NCT00523419,Unknown,COMPLETED,2007-09,Osteosarcoma,Pemetrexed,"Bordeaux - France, Lyon - France, Marseille - France, Villejuif - France, Heidelberg - Germany, Munich - Germany, Bologna - Italy, Milano - Italy, Torino - Italy, Barcelona - Spain, Madrid - Spain, Pamplona - Spain, Newcastle-Upon-Tyne - United Kingdom",2009-06,2007-08-31,2011-06-28,INTERVENTIONAL,PHASE2,{}
NCT00001436,Unknown,COMPLETED,1995-05,"Neoplasm Metastasis, Osteosarcoma","OncoLAR® (Registered Trademark), tamoxifen",Bethesda - United States,Unknown Date,2002-12-10,2008-03-04,INTERVENTIONAL,PHASE1,{}
NCT00691236,ZOL,UNKNOWN,2008-05,Osteosarcoma,"Zoledronic acid, Standard chemotherapy",Mumbai - India,2013-05,2008-06-05,2011-06-23,INTERVENTIONAL,"PHASE2, PHASE3",{}
NCT02517918,METZOLIMOS,COMPLETED,2015-02,"Solid Tumor, Osteosarcoma","Sirolimus combined with CP, MT and ZA","Bordeaux - France, Lille - France, Lyon - France",2016-09-05,2015-08-07,2022-11-29,INTERVENTIONAL,PHASE1,{}
NCT03359018,APFAO,COMPLETED,2018-01-01,"Progression-free Survival, Overall Survival, Clinical Benefit Rate, Toxicity","Apatinib, SHR-1210","Beijing - China, Beijing - China",2019-10-22,2017-12-02,2020-05-19,INTERVENTIONAL,PHASE2,{}
NCT01258634,Unknown,TERMINATED,2010-07,"Osteosarcoma, Lung Metastases","Dexrazoxane, Doxorubicin, Cisplatin, G-CSF, PEG-filgrastim, Etoposide, Ifosfamide, Mesna, Leucovorin",Chicago - United States,2011-11,2010-12-13,2013-12-10,INTERVENTIONAL,PHASE1,{}
NCT00667342,Unknown,COMPLETED,2008-06-03,"Osteosarcoma, Malignant Fibrous Histiocytoma (MFH) of Bone","Bevacizumab, Cisplatin, Doxorubicin, Methotrexate, Ifosfamide, etoposide, Surgery, Radiotherapy","San Diego - United States, Baltimore - United States, Bethesda - United States, Memphis - United States, Houston - United States",2014-08,2008-04-28,2023-08-07,INTERVENTIONAL,PHASE2,{}
NCT00880542,Unknown,TERMINATED,2008-08,Sarcoma,"sorafenib, Ifosfamide",Los Angeles - United States,2010-11,2009-04-13,2020-08-10,INTERVENTIONAL,PHASE2,"{'American Indian or Alaska Native': 0, 'Asian': 0, 'Native Hawaiian or Other Pacific Islander': 0, 'Black or African American': 0, 'White': 7, 'More than one race': 0, 'Unknown or Not Reported': 0}"
NCT06070259,Unknown,NOT_YET_RECRUITING,2024-10,Bone Cancer,No interventions listed,San Francisco - United States,2025-10,2023-10-06,2023-10-06,OBSERVATIONAL,Not Available,{}
NCT06068075,Unknown,RECRUITING,2018-05-08,"Ewing Sarcoma, Ewing Sarcoma of Bone, Ewing Sarcoma of Soft Tissue, Peripheral Primitive Neuroectodermal Tumor, Peripheral Primitive Neuroectodermal Tumor of Bone, Peripheral Primitive Neuroectodermal Tumor of Soft Tissue, High-grade Osteosarcoma",FoundationOne Liquid CDx,"Los Angeles - United States, Atlanta - United States, Boston - United States, Boston - United States, Boston - United States, Boston - United States, Minneapolis - United States, Cincinnati - United States, Columbus - United States, Philadelphia - United States, Providence - United States, Memphis - United States, Dallas - United States, Salt Lake City - United States, Seattle - United States",2025-01-01,2023-10-05,2023-10-06,INTERVENTIONAL,NA,{}
